DATA SET,PLAYER FULL NAME,"OWN
TEAM","OPP
TEAM","VENUE
(R/H)",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
Regular Season,Anthony Tolliver,Cha,Hou,R,2.4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Regular Season,Chandler Parsons,Hou,Cha,H,39.3,4,11,0,3,2,4,0,5,5,3,2,1,0,1,10
Regular Season,Dwight Howard,Hou,Cha,H,34.4,8,14,0,0,1,4,6,20,26,2,3,0,4,2,17
Regular Season,Omer Asik,Hou,Cha,H,26.1,1,5,0,0,2,4,5,9,14,0,1,1,1,2,4
Regular Season,James Harden,Hou,Cha,H,36.5,7,16,1,6,6,6,1,2,3,5,1,1,5,0,21
Regular Season,Patrick Beverley,Hou,Cha,H,10.2,2,4,1,3,0,0,1,0,1,1,0,0,2,0,5
Regular Season,Omri Casspi,Hou,Cha,H,20.2,2,6,0,2,0,0,1,3,4,2,2,0,1,1,4
Regular Season,Jeremy Lin,Hou,Cha,H,30.6,5,7,2,2,4,6,0,0,0,2,2,0,2,0,16
Regular Season,Francisco Garcia,Hou,Cha,H,30,7,13,5,9,0,0,0,1,1,1,2,0,1,0,19
Regular Season,Aaron Brooks,Hou,Cha,H,11.1,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0
Regular Season,Maurice Harkless,Orl,Min,R,19.2,1,3,0,1,0,0,0,1,1,1,2,0,1,0,2
Regular Season,Jason Maxiell,Orl,Min,R,16.4,2,3,0,0,0,0,0,2,2,0,1,0,0,0,4
Regular Season,Nikola Vucevic,Orl,Min,R,45.4,9,15,0,0,4,6,7,9,16,3,4,3,2,3,22
Regular Season,Arron Afflalo,Orl,Min,R,41,11,22,3,5,3,4,0,9,9,5,1,1,3,0,28
Regular Season,Jameer Nelson,Orl,Min,R,41,7,17,3,11,1,2,0,4,4,8,6,2,4,0,18
Regular Season,Victor Oladipo,Orl,Min,R,36.3,5,14,1,5,3,4,0,6,6,4,5,0,4,1,14
Regular Season,E'Twaun Moore,Orl,Min,R,21.1,4,11,2,3,0,0,0,1,1,0,2,1,1,1,10
Regular Season,Andrew Nicholson,Orl,Min,R,19.1,6,12,1,2,0,0,1,6,7,0,5,0,1,0,13
Regular Season,Kyle O'Quinn,Orl,Min,R,2.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
